year	sex	occupation	people	score	sei
2000	1	Scientist - Geology	70402	41	80
2000	1	Scientist - Physics	29426	41	80
2000	1	Scientist - Social	21044	39	81
2000	1	Secretary	191588	23	53
2000	1	Security Guard	1212189	26	26
2000	1	Service Attendant	211791	13	32
2000	1	Service Worker	627109	11	11
2000	1	Serviceman	536422	32	43
2000	1	Sheriff / Bailiff	8228	30	11
2000	1	Ship Officers	43594	42	54
2000	1	Shipping and Receiving	584615	26	45
2000	1	Shoemaker	282385	20	22
2000	1	Social Worker	404846	24	66
2000	1	Sports Instructor / Official	173041	32	52
2000	1	Stationary Engineer	213589	28	29
2000	1	Statistician / Actuary	33042	39	81
2000	1	Stock Broker	467290	40	69
2000	1	Surveyor	118867	28	48
2000	1	Taxi Cab Driver / Chauffeur	294801	22	14
2000	1	Teacher	1402235	27	72
2000	1	Technician	431203	33	53
2000	1	Technician - Medical / Dental	460297	25	57
2000	1	Technician - Testing	242234	30	36
2000	1	Telephone Operator	32532	21	45
2000	1	Temperer	14405	30	22
2000	1	Therapist	127400	26	53
2000	1	Ticket Agent	104583	35	54
2000	1	Tool Maker	138638	37	50
2000	1	Truck / Tractor Driver	3681627	25	15
2000	1	Typesetter	51064	36	18
2000	1	Upholsterer	57883	26	22
2000	1	Usher	58147	4	25
2000	1	Veterinarian	39184	42	78
2000	1	Waiter / Waitress	595509	11	16
2000	1	Weaver	17800	23	6
2000	1	Welder	727405	31	24
2000	2	Accountant / Auditor	1217596	38	72
2000	2	Actor	25931	29	60
2000	2	Advertising Agent	132581	35	66
2000	2	Architect	45789	54	90
2000	2	Artist / Art Teacher	144382	31	67
2000	2	Author	107058	30	76
2000	2	Baker	117400	28	22
2000	2	Bank Teller	474467	26	52
2000	2	Barber / Beautician	912194	19	14
2000	2	Bartender	232073	25	19
2000	2	Bill Collector	189733	26	39
2000	2	Blaster	1187	26	11
2000	2	Boilermaker	810	34	39
2000	2	Bookbinder	34600	25	33
2000	2	Bookkeeper	1920224	22	51
2000	2	Building Manager	272713	20	32
2000	2	Bus Driver	303925	30	24
2000	2	Buyer - Farm	3870	26	33
2000	2	Buyer - Store	735183	42	72
2000	2	Cabinet Maker	7648	26	23
2000	2	Carpenter	35826	24	19
2000	2	Cashier	3347118	18	44
2000	2	Cement / Concrete Finisher	1620	27	19
2000	2	Charwoman	1538658	14	7
2000	2	Chemist	39726	40	79
2000	2	Chiropractor	19954	32	70
2000	2	Clergyman	69192	24	52
2000	2	Clerical Worker	9244984	25	46
2000	2	Cook	2289731	16	13
2000	2	Counter Worker	208388	13	17
2000	2	Cranemen / Hoistmen	3609	31	21
2000	2	Dancer / Dance Teacher	29546	16	45
2000	2	Delivery Man	13282	27	27
2000	2	Demonstrator	73418	12	35
2000	2	Dentist	30915	63	96
2000	2	Designer	521359	38	73
2000	2	Dispatcher	163762	31	40
2000	2	Doctor Office Attendant	960494	16	47
2000	2	Draftsman	52679	34	67
2000	2	Dressmaker / Seamstress	115374	12	23
2000	2	Economist	64767	39	73
2000	2	Editor / Reporter	318909	39	77
2000	2	Electrician	24584	34	36
2000	2	Engineer	49325	49	52
2000	2	Engineer - Aeuronautical	11645	48	87
2000	2	Engineer - Chemical	10994	49	90
2000	2	Engineer - Civil	32554	46	84
2000	2	Engineer - Electrical	44169	46	86
2000	2	Engineer - Industrial	285490	45	76
2000	2	Engineer - Mechanical	20586	46	85
2000	2	Engineer - Metallurgical	4554	46	82
2000	2	Engineer - Mining	1776	48	85
2000	2	Engraver	6674	33	47
2000	2	Entertainer	122685	20	48
2000	2	Farm Foreman	11769	23	68
2000	2	Farm Laborer	384886	9	11
2000	2	Farm Manager	37048	24	36
2000	2	Farmer	117671	14	14
2000	2	Fireman	23972	29	24
2000	2	Fisherman	5504	16	10
2000	2	Foremen	436539	38	30
2000	2	Forgemen	1115	32	23
2000	2	Forrester	7396	29	43
2000	2	Funeral Director	9932	31	59
2000	2	Gardener / Groundskeeper	113506	17	11
2000	2	Glazier	2671	28	26
2000	2	Hospital Attendant	2508569	16	27
2000	2	Household Worker	123088	18	26
2000	2	Human Resources	974106	43	76
2000	2	Inspector	72389	36	53
2000	2	Insulation Worker	4840	32	25
2000	2	Insurance Agent	752326	36	55
2000	2	Janitor	953749	19	9
2000	2	Jeweler	31809	27	32
2000	2	Laborer	825610	20	19
2000	2	Laundry / Dry Cleaning	275642	15	15
2000	2	Lawyer / Judge	310186	62	93
2000	2	Librarian	188810	22	60
2000	2	Library Attendant	205979	13	53
2000	2	Locomotive Engineer	2324	46	58
2000	2	Lumberman	4596	12	4
2000	2	Machinist	33788	32	33
2000	2	Mail Carrier	137492	34	53
2000	2	Manager / Owner	7154236	42	52
2000	2	Mason	3111	29	27
2000	2	Meat Cutter	94222	29	29
2000	2	Mechanic	90507	30	27
2000	2	Mechanic - Airplane	13018	34	48
2000	2	Mechanic - Automobile	36084	27	19
2000	2	Mechanic - Office Machines	43897	28	36
2000	2	Mechanic - Radio / Television	6283	25	38
2000	2	Messenger	57087	15	28
2000	2	Metal Filer	16030	30	22
2000	2	Metal Worker	12523	33	34
2000	2	Military	171138	31	49
2000	2	Millwright	2007	34	31
2000	2	Miner	7109	24	14
2000	2	Model Maker	2772	34	44
2000	2	Motion Picture Projectionist	1720	34	43
2000	2	Musician / Music Teacher	761844	20	63
2000	2	Newsboy	140034	3	8
2000	2	Nurse	3505260	19	44
2000	2	Nutritionist	88039	20	39
2000	2	Office Machine Operator	891903	23	45
2000	2	Oiler / Greaser	2196	28	15
2000	2	Operative	4200004	23	27
2000	2	Optician / Lens Grinder	39007	30	48
2000	2	Optometrist	9246	42	79
2000	2	Painter	108402	25	17
2000	2	Paperhanger	7125	15	10
2000	2	Parking Attendant	53227	19	23
2000	2	Pharmacist	107598	40	82
2000	2	Photo Developer	62574	23	42
2000	2	Photographer	70166	27	34
2000	2	Physician / Surgeon	211250	80	92
2000	2	Pilot	5919	52	79
2000	2	Plasterer	695	29	25
2000	2	Plumber	11947	33	34
2000	2	Policeman / Detective	144722	32	29
2000	2	Porter	11117	18	4
2000	2	Postmaster	27120	29	60
2000	2	Power Station Operator	3787	36	50
2000	2	Pressman	72897	38	35
2000	2	Professional - Misc	2592152	33	65
2000	2	Professor	637686	41	84
2000	2	Psychologist	119715	39	81
2000	2	Public Officials	162534	36	66
2000	2	Purchasing Agent	160663	42	77
2000	2	Radio Operator	24389	30	69
2000	2	Railroad Brakeman	377	36	42
2000	2	Railroad Conductor	3685	43	58
2000	2	Real Estate Agent	500595	35	62
2000	2	Recreation Attendant	339990	9	15
2000	2	Religious Worker	108514	15	56
2000	2	Road Machinery Operator	12391	31	28
2000	2	Roller	5966	30	22
2000	2	Roofer	4992	23	15
2000	2	Sailor	1895	23	16
2000	2	Salesman	3846310	24	47
2000	2	Sawyer	11801	17	5
2000	2	Scientist	61293	41	80
2000	2	Scientist - Agriculture	8867	41	80
2000	2	Scientist - Biology	84371	41	80
2000	2	Scientist - Geology	23132	41	80
2000	2	Scientist - Physics	3888	41	80
2000	2	Scientist - Social	22081	39	81
2000	2	Secretary	4829263	23	53
2000	2	Security Guard	376663	26	26
2000	2	Service Attendant	1948587	13	32
2000	2	Service Worker	446730	11	11
2000	2	Serviceman	52984	32	43
2000	2	Sheriff / Bailiff	3574	30	11
2000	2	Ship Officers	1504	42	54
2000	2	Shipping and Receiving	254624	26	45
2000	2	Shoemaker	14101	20	22
2000	2	Social Worker	1023517	24	66
2000	2	Sports Instructor / Official	90745	32	52
2000	2	Stationary Engineer	9471	28	29
2000	2	Statistician / Actuary	23370	39	81
2000	2	Stock Broker	235499	40	69
2000	2	Surveyor	17314	28	48
2000	2	Taxi Cab Driver / Chauffeur	48088	22	14
2000	2	Teacher	4460616	27	72
2000	2	Technician	117728	33	53
2000	2	Technician - Medical / Dental	1064460	25	57
2000	2	Technician - Testing	148853	30	36
2000	2	Telephone Operator	189007	21	45
2000	2	Temperer	1677	30	22
2000	2	Therapist	423125	26	53
2000	2	Ticket Agent	307394	35	54
2000	2	Tool Maker	4739	37	50
2000	2	Truck / Tractor Driver	255543	25	15
2000	2	Typesetter	48722	36	18
2000	2	Upholsterer	17947	26	22
2000	2	Usher	26527	4	25
2000	2	Veterinarian	25883	42	78
2000	2	Waiter / Waitress	1843769	11	16
2000	2	Weaver	32015	23	6
2000	2	Welder	63197	31	24
1850	1	Accountant / Auditor	708	38	78
1850	1	Actor	506	29	60
1850	1	Agent	2528	36	68
1850	1	Apprentice	3134	20	35
1850	1	Apprentice - Carpenter	404	20	31
1850	1	Apprentice - Construction	202	21	29
1850	1	Architect	405	54	90
1850	1	Artist / Art Teacher	2123	31	67
1850	1	Athlete	204	23	52
1850	1	Auctioneer	809	30	40
1850	1	Author	101	33	76
1850	1	Baggageman	809	30	25
1850	1	Baker	14557	28	22
1850	1	Bank Teller	404	26	52
1850	1	Barber / Beautician	7685	19	17
1850	1	Bartender	5660	25	19
1850	1	Bill Collector	1212	26	39
1850	1	Blacksmith	96744	25	16
1850	1	Boarding House Keeper	2124	7	30
1850	1	Boatman	28295	30	24
1850	1	Boilermaker	2020	34	39
1850	1	Bookbinder	3435	25	33
1850	1	Bookkeeper	2225	22	51
1850	1	Building Manager	2125	20	32
1850	1	Bus Driver	3839	30	24
1850	1	Buyer - Farm	404	26	33
1850	1	Cabinet Maker	38303	26	23
1850	1	Carpenter	219647	24	19
1850	1	Cashier	101	18	44
1850	1	Cement / Concrete Finisher	102	27	19
1850	1	Chemist	809	40	79
1850	1	Clergyman	29414	24	52
