year	sex	occupation	people	score	sei
1900	1	Cranemen / Hoistmen	2717	31	21
1900	1	Creditor	201	37	74
1900	1	Crossing Guard / Toll Collector	4725	26	17
1900	1	Dancer / Dance Teacher	401	16	45
1900	1	Decorator	1812	25	40
1900	1	Delivery Man	41899	27	32
1900	1	Dentist	26222	63	96
1900	1	Designer	3515	38	73
1900	1	Disabled	23017	0	0
1900	1	Dispatcher	803	31	40
1900	1	Doctor Office Attendant	503	16	38
1900	1	Draftsman	12362	34	67
1900	1	Dressmaker / Seamstress	4217	12	23
1900	1	Dyer	17179	25	12
1900	1	Editor / Reporter	28136	39	82
1900	1	Electrician	46435	34	44
1900	1	Electrotyper	2206	47	55
1900	1	Elevator Operator	11247	20	10
1900	1	Engineer	1006	49	87
1900	1	Engineer - Chemical	100	49	90
1900	1	Engineer - Civil	18597	46	84
1900	1	Engineer - Electrical	6644	46	84
1900	1	Engineer - Mechanical	11145	46	82
1900	1	Engineer - Mining	3417	48	85
1900	1	Engraver	9368	33	47
1900	1	Entertainer	3713	20	31
1900	1	Farm Foreman	4022	23	20
1900	1	Farm Laborer	3964960	15	14
1900	1	Farm Manager	8940	24	36
1900	1	Farmer	5535233	14	14
1900	1	Fireman	81592	31	27
1900	1	Fisherman	73919	16	10
1900	1	Floor Manager	802	26	50
1900	1	Foremen	131261	38	49
1900	1	Forgemen	3613	32	23
1900	1	Forrester	1207	29	48
1900	1	Funeral Director	12066	31	59
1900	1	Furnaceman	28251	29	18
1900	1	Furrier	3919	32	39
1900	1	Gardener / Groundskeeper	55665	17	11
1900	1	Glazier	3317	28	26
1900	1	Hospital Attendant	5430	16	13
1900	1	Household Worker	109734	9	17
1900	1	Huckster	73066	13	8
1900	1	Inmate	20904	0	0
1900	1	Inspector	40907	32	42
1900	1	Insulation Worker	202	32	32
1900	1	Insurance Agent	67332	36	66
1900	1	Janitor	48751	19	9
1900	1	Jeweler	49851	27	36
1900	1	Laborer	3134854	20	8
1900	1	Laundry / Dry Cleaning	48646	15	15
1900	1	Lawyer / Judge	98163	62	93
1900	1	Librarian	805	22	60
1900	1	Library Attendant	402	13	44
1900	1	Lithographer	8239	47	64
1900	1	Locomotive Engineer	52563	46	58
1900	1	Locomotive Fireman	45919	37	45
1900	1	Longshoreman	26726	25	11
1900	1	Loom Fixer	7435	29	10
1900	1	Lumberman	108406	12	4
1900	1	Machinist	263131	32	33
1900	1	Mail Carrier	26923	34	53
1900	1	Manager / Owner	1277509	42	68
1900	1	Mason	149652	29	27
1900	1	Mathematician	100	41	80
1900	1	Meat Cutter	107334	29	29
1900	1	Mechanic	44014	30	27
1900	1	Mechanic - Office Machines	100	28	36
1900	1	Mechanic - Railroad	9950	32	23
1900	1	Messenger	70948	27	48
1900	1	Metal Filer	39098	30	22
1900	1	Metal Heater	5633	32	29
1900	1	Metal Worker	64716	33	34
1900	1	Military	133383	11	18
1900	1	Miller	37099	25	19
1900	1	Milliner	2914	19	46
1900	1	Millwright	10861	34	31
1900	1	Miner	584858	24	10
1900	1	Model Maker	15775	34	44
1900	1	Molder	95689	28	12
1900	1	Motorman	33779	30	19
1900	1	Musician / Music Teacher	40304	20	52
1900	1	Newsboy	7438	3	27
1900	1	Nurse	7541	16	34
1900	1	Office Machine Operator	201	23	45
1900	1	Oiler / Greaser	6630	28	15
1900	1	Operative	1052589	23	18
1900	1	Optician / Lens Grinder	3920	30	39
1900	1	Osteopath	201	60	96
1900	1	Painter	278009	25	17
1900	1	Paperhanger	21617	15	10
1900	1	Pharmacist	54859	40	82
1900	1	Photo Developer	603	23	42
1900	1	Photographer	21811	27	50
1900	1	Physician / Surgeon	117403	80	92
1900	1	Piano / Organ Tuner	4526	24	38
1900	1	Pilot	101	52	79
1900	1	Plasterer	39880	29	25
1900	1	Plumber	90259	33	34
1900	1	Policeman / Detective	41908	32	39
1900	1	Porter	72538	18	4
1900	1	Postmaster	14178	29	60
1900	1	Pressman	14669	38	49
1900	1	Produce Grader	403	12	10
1900	1	Professional - Misc	9149	33	65
1900	1	Professor	5628	41	84
1900	1	Professor - Agriculture 	101	41	84
1900	1	Professor - Biology	302	41	84
1900	1	Professor - Mathematics	100	41	84
1900	1	Professor - Physics	100	41	84
1900	1	Professor - Social Science 	101	41	84
1900	1	Public Officials	35977	36	66
1900	1	Purchasing Agent	1006	42	77
1900	1	Railroad Brakeman	71057	36	42
1900	1	Railroad Conductor	55275	43	58
1900	1	Railroad Switchman	22994	36	44
1900	1	Real Estate Agent	54886	35	62
1900	1	Recreation Attendant	1305	8	19
1900	1	Religious Worker	3717	15	56
1900	1	Retired	87522	0	0
1900	1	Road Machinery Operator	803	31	24
1900	1	Roller	14363	30	22
1900	1	Roofer	8648	23	15
1900	1	Sailor	50515	23	16
1900	1	Salesman	829630	24	47
1900	1	Sawyer	39788	17	5
1900	1	Scientist	101	41	80
1900	1	Scientist - Biology	202	41	80
1900	1	Scientist - Geology	100	41	80
1900	1	Scientist - Social	302	39	81
1900	1	Secretary	31973	22	61
1900	1	Security Guard	59778	25	18
1900	1	Service Attendant	2613	13	26
1900	1	Service Worker	15770	11	11
1900	1	Serviceman	17088	33	49
1900	1	Sheriff / Bailiff	8546	30	34
1900	1	Ship Officers	26327	42	54
1900	1	Shipping and Receiving	37391	26	22
1900	1	Shoemaker	103413	20	12
1900	1	Social Worker	1510	27	66
1900	1	Sports Instructor / Official	6727	32	64
1900	1	Stationary Engineer	156714	36	47
1900	1	Statistician / Actuary	202	39	81
1900	1	Stock Broker	100	40	73
1900	1	Stone Cutter	43720	28	25
1900	1	Street Car Conductor	21815	33	30
1900	1	Surveyor	5323	28	48
1900	1	Tailor	136114	26	23
1900	1	Taxi Cab Driver / Chauffeur	54585	22	10
1900	1	Teacher	111956	27	72
1900	1	Technician	703	33	62
1900	1	Technician - Testing	803	30	53
1900	1	Telegraph Messenger	4122	12	22
1900	1	Telegraph Operator	42897	32	47
1900	1	Telephone Operator	6126	21	45
1900	1	Temperer	1105	31	22
1900	1	Textile Spinner	29336	18	5
1900	1	Therapist	2011	26	58
1900	1	Ticket Agent	36377	35	60
1900	1	Tool Maker	7140	37	50
1900	1	Truck / Tractor Driver	435202	25	15
1900	1	Typesetter	104848	36	52
1900	1	Union Official	2111	40	58
1900	1	Upholsterer	20400	26	22
1900	1	Usher	403	4	25
1900	1	Veterinarian	6837	42	78
1900	1	Waiter / Waitress	63437	11	16
1900	1	Weaver	97151	23	6
1900	1	Welder	904	31	24
1900	2	Accountant / Auditor	807	38	78
1900	2	Actor	6736	29	60
1900	2	Agent	906	36	68
1900	2	Apprentice	5026	20	35
1900	2	Apprentice - Machinist	100	24	41
1900	2	Apprentice - Metal Working	101	23	33
1900	2	Apprentice - Plumber	200	25	33
1900	2	Apprentice - Printing	200	23	40
1900	2	Architect	100	54	90
1900	2	Artist / Art Teacher	11754	31	67
1900	2	Author	1104	33	76
1900	2	Baker	4121	28	22
1900	2	Bank Teller	101	26	52
1900	2	Barber / Beautician	7325	19	17
1900	2	Bartender	503	25	19
1900	2	Bill Collector	201	26	39
1900	2	Blacksmith	200	25	16
1900	2	Boarding House Keeper	78882	7	30
1900	2	Boilermaker	100	34	39
1900	2	Bookbinder	12966	25	33
1900	2	Bookkeeper	57988	22	51
1900	2	Building Manager	20099	20	32
1900	2	Buyer - Farm	505	26	33
1900	2	Buyer - Store	604	42	72
1900	2	Cabinet Maker	302	26	23
1900	2	Carpenter	1103	24	19
1900	2	Cashier	13373	18	44
1900	2	Charwoman	4524	14	10
1900	2	Chemist	404	40	79
1900	2	Clergyman	1207	24	52
1900	2	Clerical Worker	38400	25	44
1900	2	Cook	204394	16	15
1900	2	Counter Worker	100	13	17
1900	2	Craftsman	2211	32	32
1900	2	Crossing Guard / Toll Collector	202	26	17
1900	2	Dancer / Dance Teacher	501	16	45
1900	2	Decorator	100	25	40
1900	2	Delivery Man	100	27	32
1900	2	Demonstrator	602	12	35
1900	2	Dentist	603	63	96
1900	2	Designer	301	38	73
1900	2	Disabled	8040	0	0
1900	2	Doctor Office Attendant	303	16	38
1900	2	Draftsman	201	34	67
1900	2	Dressmaker / Seamstress	453625	12	23
1900	2	Dyer	603	25	12
1900	2	Editor / Reporter	2711	39	82
1900	2	Electrician	502	34	44
1900	2	Electrotyper	100	47	55
1900	2	Engineer - Mechanical	101	46	82
1900	2	Engraver	500	33	47
1900	2	Entertainer	402	20	31
1900	2	Farm Foreman	100	23	20
1900	2	Farm Laborer	677490	9	6
1900	2	Farm Manager	1003	24	36
1900	2	Farmer	316196	14	14
1900	2	Fireman	200	31	27
1900	2	Fisherman	3514	16	10
1900	2	Floor Manager	101	26	50
1900	2	Foremen	9846	38	49
1900	2	Forgemen	101	32	23
1900	2	Funeral Director	200	31	59
1900	2	Furnaceman	200	29	18
1900	2	Furrier	903	32	39
1900	2	Gardener / Groundskeeper	905	17	11
1900	2	Glazier	101	28	26
1900	2	Hospital Attendant	3113	16	13
1900	2	Household Worker	1465711	9	17
1900	2	Huckster	2513	13	8
1900	2	Inmate	11053	0	0
1900	2	Inspector	1405	35	52
1900	2	Insulation Worker	101	32	32
1900	2	Insurance Agent	1403	36	66
1900	2	Janitor	7340	19	9
1900	2	Jeweler	2510	27	36
1900	2	Laborer	134963	20	8
1900	2	Laundry / Dry Cleaning	31145	15	15
1900	2	Lawyer / Judge	402	62	93
1900	2	Librarian	2813	22	60
1900	2	Library Attendant	1307	13	44
1900	2	Lithographer	202	47	64
1900	2	Locomotive Engineer	100	46	58
1900	2	Longshoreman	101	25	11
1900	2	Loom Fixer	101	29	10
1900	2	Lumberman	302	12	4
1900	2	Machinist	1207	32	33
1900	2	Mail Carrier	302	34	53
1900	2	Manager / Owner	88545	42	68
1900	2	Mason	504	29	27
1900	2	Meat Cutter	603	29	29
1900	2	Mechanic	402	30	27
1900	2	Messenger	5431	27	48
1900	2	Metal Filer	1706	30	22
1900	2	Metal Worker	101	32	33
1900	2	Midwife	5623	5	37
1900	2	Military	202	11	18
1900	2	Miller	200	25	19
1900	2	Milliner	81502	19	46
1900	2	Miner	2812	24	10
1900	2	Model Maker	301	34	44
1900	2	Molder	302	28	12
1900	2	Motorman	100	34	34
1900	2	Musician / Music Teacher	50346	20	52
1900	2	Nurse	100388	12	40
1900	2	Oiler / Greaser	100	28	15
1900	2	Operative	492853	23	18
1900	2	Optician / Lens Grinder	504	30	39
1900	2	Osteopath	101	60	96
1900	2	Painter	2913	25	17
1900	2	Paperhanger	403	15	10
1900	2	Pharmacist	1003	40	82
1900	2	Photo Developer	1106	23	42
1900	2	Photographer	2820	27	50
1900	2	Physician / Surgeon	5635	80	92
1900	2	Plasterer	201	29	25
1900	2	Plumber	202	33	34
1900	2	Policeman / Detective	201	32	39
1900	2	Porter	403	18	4
1900	2	Postmaster	5831	29	60
1900	2	Pressman	602	38	49
1900	2	Produce Grader	1509	12	10
1900	2	Professional - Misc	1909	33	65
1900	2	Professor	805	41	84
1900	2	Public Officials	1605	36	66
1900	2	Purchasing Agent	402	42	77
1900	2	Railroad Brakeman	100	36	42
1900	2	Railroad Conductor	101	43	58
1900	2	Real Estate Agent	1408	35	62
1900	2	Religious Worker	26638	15	56
1900	2	Retired	8536	0	0
1900	2	Sailor	503	23	16
1900	2	Salesman	201808	24	47
1900	2	Sawyer	402	17	5
1900	2	Secretary	93152	22	61
1900	2	Security Guard	905	25	18
1900	2	Service Attendant	5227	13	26
1900	2	Service Worker	37766	11	11
1900	2	Serviceman	101	33	49
1900	2	Ship Officers	302	42	54
1900	2	Shipping and Receiving	1103	26	22
1900	2	Shoemaker	5427	20	12
1900	2	Social Worker	803	27	64
1900	2	Sports Instructor / Official	602	32	64
1900	2	Stationary Engineer	202	36	47
1900	2	Stone Cutter	100	28	25
1900	2	Tailor	49576	26	23
1900	2	Taxi Cab Driver / Chauffeur	200	22	10
1900	2	Teacher	328340	27	72
1900	2	Technician - Testing	603	30	53
1900	2	Telegraph Operator	5528	32	47
1900	2	Telephone Operator	17985	21	45
1900	2	Textile Spinner	32956	18	5
1900	2	Therapist	1706	26	58
1900	2	Ticket Agent	404	35	60
1900	2	Truck / Tractor Driver	1704	25	15
1900	2	Typesetter	12370	36	52
1900	2	Union Official	504	40	58
1900	2	Upholsterer	806	26	22
1900	2	Waiter / Waitress	43520	11	16
1900	2	Weaver	96654	23	6
1910	1	Actor	15867	29	60
1910	1	Agent	52647	36	68
1910	1	Apprentice	70527	20	35
1910	1	Apprentice - Construction	21412	21	29
1910	1	Architect	16624	54	90
1910	1	Artist / Art Teacher	20151	31	67
1910	1	Auctioneer	2519	30	40
1910	1	Author	1260	33	76
1910	1	Baggageman	12846	30	25
1910	1	Baker	69276	28	22
1910	1	Barber / Beautician	177585	19	17
1910	1	Bartender	110336	25	19
1910	1	Bill Collector	31238	26	39
1910	1	Blacksmith	239044	25	16
1910	1	Boarding House Keeper	19149	7	30
1910	1	Boatman	5291	30	24
1910	1	Boilermaker	39803	34	39
1910	1	Bookkeeper	294208	22	51
1910	1	Bootblack	19394	14	8
1910	1	Cabinet Maker	40555	26	23
1910	1	Carpenter	816886	24	19
1910	1	Charwoman	10579	14	10
1910	1	Chemist	15115	40	79
1910	1	Clergyman	122668	24	52
1910	1	Clerical Worker	525693	25	44
1910	1	Constable	9825	24	21
1910	1	Craftsman	43321	32	32
1910	1	Decorator	5292	25	40
1910	1	Delivery Man	217884	27	32
1910	1	Demonstrator	1008	12	35
1910	1	Dentist	41818	63	96
1910	1	Designer	7306	38	73
1910	1	Draftsman	32998	34	67
1910	1	Dressmaker / Seamstress	4282	12	23
1910	1	Dyer	16375	25	12
1910	1	Editor / Reporter	31492	39	82
1910	1	Electrician	130726	34	44
1910	1	Electrotyper	5541	47	55
1910	1	Elevator Operator	18893	20	10
1910	1	Engineer - Civil	47349	46	84
1910	1	Engineer - Mechanical	14607	46	82
1910	1	Engineer - Mining	10328	48	85
1910	1	Engraver	13348	33	47
1910	1	Entertainer	22165	20	31
1910	1	Farm Foreman	51894	23	20
1910	1	Farm Laborer	5061866	9	6
1910	1	Farmer	5765835	14	14
1910	1	Fireman	139785	31	27
1910	1	Fisherman	73556	16	10
1910	1	Floor Manager	14106	26	50
1910	1	Foremen	274820	38	49
1910	1	Forgemen	7558	32	23
1910	1	Forrester	4284	29	48
1910	1	Funeral Director	16372	31	59
1910	1	Furnaceman	29463	29	18
1910	1	Gardener / Groundskeeper	93958	17	11
1910	1	Household Worker	287427	6	13
1910	1	Inmate	25692	0	0
1910	1	Inspector	48616	33	41
1910	1	Insurance Agent	74801	36	66
1910	1	Janitor	94970	19	9
1910	1	Jeweler	27203	27	36
1910	1	Laborer	3523434	20	8
1910	1	Laundry / Dry Cleaning	40805	15	15
1910	1	Lawyer / Judge	111097	62	93
1910	1	Lithographer	7054	47	64
1910	1	Locomotive Engineer	106301	46	58
1910	1	Locomotive Fireman	71293	37	45
1910	1	Longshoreman	70023	25	11
1910	1	Loom Fixer	12595	27	36
1910	1	Lumberman	144577	12	4
1910	1	Machinist	471039	32	33
1910	1	Mail Carrier	84376	34	53
1910	1	Manager / Owner	2160453	42	68
1910	1	Mason	183629	29	27
1910	1	Meat Cutter	15115	29	29
1910	1	Mechanic	40551	30	27
1910	1	Messenger	109325	27	48
1910	1	Metal Filer	39544	30	22
1910	1	Metal Heater	7305	32	29
1910	1	Metal Worker	76316	33	34
1910	1	Midwife	252	5	37
1910	1	Military	132487	11	18
1910	1	Miller	21411	25	19
1910	1	Milliner	6549	19	46
1910	1	Miner	914115	24	10
1910	1	Model Maker	23428	34	44
1910	1	Molder	123690	28	12
1910	1	Motorman	66248	34	34
1910	1	Musician / Music Teacher	57938	20	52
1910	1	Newsboy	28718	3	27
1910	1	Nurse	22169	16	34
1910	1	Oiler / Greaser	15620	28	15
1910	1	Operative	1753668	23	18
1910	1	Painter	336038	25	17
1910	1	Paperhanger	23172	15	10
1910	1	Photographer	25946	27	50
1910	1	Physician / Surgeon	147613	80	92
1910	1	Piano / Organ Tuner	9065	24	38
1910	1	Plasterer	46607	29	25
1910	1	Plumber	152913	33	34
1910	1	Policeman / Detective	68769	32	39
1910	1	Porter	87910	18	4
1910	1	Pressman	25186	38	49
1910	1	Produce Grader	2519	12	10
1910	1	Professional - Misc	11587	33	65
1910	1	Professor	21667	41	84
1910	1	Public Officials	103010	36	66
1910	1	Railroad Brakeman	94464	36	42
1910	1	Railroad Conductor	60701	43	58
1910	1	Railroad Switchman	68008	36	44
1910	1	Real Estate Agent	125936	35	62
1910	1	Religious Worker	9319	15	56
1910	1	Roller	16373	30	22
1910	1	Roofer	14860	23	15
1910	1	Sailor	50632	23	16
1910	1	Salesman	1078646	24	47
1910	1	Sawyer	46344	17	5
1910	1	Secretary	48107	14	61
1910	1	Security Guard	80602	25	18
1910	1	Service Attendant	15874	13	26
1910	1	Service Worker	17630	11	11
1910	1	Serviceman	24432	33	49
1910	1	Sheriff / Bailiff	10833	30	34
1910	1	Ship Officers	24683	42	54
1910	1	Shipping and Receiving	76329	26	22
1910	1	Shoemaker	65241	20	12
1910	1	Social Worker	504	27	64
1910	1	Stationary Engineer	225712	36	47
1910	1	Stock Broker	16374	40	73
1910	1	Stone Cutter	32995	28	25
1910	1	Street Car Conductor	61212	33	30
1910	1	Tailor	156426	26	23
1910	1	Taxi Cab Driver / Chauffeur	81605	22	10
1910	1	Teacher	122676	27	72
1910	1	Telegraph Messenger	6801	12	22
1910	1	Telegraph Operator	61714	32	47
1910	1	Telephone Operator	9573	21	45
1910	1	Temperer	1007	31	22
1910	1	Textile Spinner	26445	18	5
1910	1	Therapist	2517	26	58
1910	1	Ticket Agent	28718	35	60
1910	1	Tool Maker	11840	37	50
1910	1	Truck / Tractor Driver	430738	25	15
1910	1	Typesetter	119412	36	52
1910	1	Union Official	4535	40	58
1910	1	Upholsterer	17134	26	22
1910	1	Veterinarian	12344	42	78
1910	1	Waiter / Waitress	119657	11	16
1910	1	Weaver	111082	23	6
1910	2	Actor	14106	29	60
1910	2	Agent	2016	36	68
1910	2	Apprentice	8568	20	35
1910	2	Artist / Art Teacher	15617	31	67
1910	2	Author	756	33	76
1910	2	Baggageman	251	30	25
1910	2	Baker	5036	28	22
1910	2	Barber / Beautician	19898	19	17
1910	2	Bartender	252	25	19
1910	2	Bill Collector	2016	26	39
1910	2	Blacksmith	504	25	16
1910	2	Boarding House Keeper	141058	7	30
1910	2	Boilermaker	252	34	39
1910	2	Bookkeeper	190197	22	51
1910	2	Cabinet Maker	1008	26	23
1910	2	Carpenter	2519	24	19
1910	2	Charwoman	25945	14	10
1910	2	Chemist	252	40	79
1910	2	Clergyman	2267	24	52
1910	2	Clerical Worker	121157	25	44
1910	2	Craftsman	756	32	32
1910	2	Decorator	504	25	40
1910	2	Delivery Man	2520	27	32
1910	2	Demonstrator	2771	12	35
1910	2	Dentist	756	63	96
1910	2	Designer	3022	38	73
1910	2	Draftsman	252	34	67
1910	2	Dressmaker / Seamstress	403770	12	23
1910	2	Dyer	504	25	12
1910	2	Editor / Reporter	3524	39	82
1910	2	Electrician	252	34	44
1910	2	Electrotyper	753	47	55
1910	2	Engineer - Civil	1258	46	84
1910	2	Engraver	252	33	47
1910	2	Entertainer	252	20	31
1910	2	Farm Foreman	5794	23	20
1910	2	Farm Laborer	1641086	9	6
1910	2	Farmer	282118	14	14
1910	2	Fireman	252	28	17
1910	2	Floor Manager	4030	26	50
1910	2	Foremen	20403	38	49
1910	2	Funeral Director	1259	31	59
1910	2	Furnaceman	504	29	18
1910	2	Gardener / Groundskeeper	5542	17	11
1910	2	Household Worker	2031315	6	13
1910	2	Inmate	3778	0	0
1910	2	Inspector	1259	33	41
1910	2	Insurance Agent	3024	36	66
1910	2	Janitor	18391	19	9
1910	2	Jeweler	1008	27	36
1910	2	Laborer	123424	20	8
1910	2	Laundry / Dry Cleaning	73802	15	15
1910	2	Lawyer / Judge	1258	62	93
1910	2	Lithographer	252	47	64
1910	2	Locomotive Engineer	252	46	58
1910	2	Locomotive Fireman	252	37	45
1910	2	Longshoreman	252	25	11
1910	2	Lumberman	503	12	4
1910	2	Machinist	3273	32	33
1910	2	Mail Carrier	504	34	53
1910	2	Manager / Owner	117876	42	68
1910	2	Mason	252	29	27
1910	2	Mechanic	252	30	27
1910	2	Messenger	9823	15	28
1910	2	Metal Filer	3780	30	22
1910	2	Midwife	4787	5	37
1910	2	Miller	252	25	19
1910	2	Milliner	123938	19	46
1910	2	Miner	3275	24	10
1910	2	Model Maker	252	34	44
1910	2	Motorman	504	34	34
1910	2	Musician / Music Teacher	84875	20	52
1910	2	Newsboy	504	3	27
1910	2	Nurse	225705	16	34
1910	2	Operative	943342	23	18
1910	2	Painter	2771	25	17
1910	2	Paperhanger	1007	15	10
1910	2	Photographer	5792	27	50
1910	2	Physician / Surgeon	7555	80	92
1910	2	Plumber	756	33	34
1910	2	Porter	1008	18	4
1910	2	Pressman	1008	38	49
1910	2	Produce Grader	2016	12	10
1910	2	Professional - Misc	10580	33	65
1910	2	Professor	4031	41	84
1910	2	Public Officials	12093	36	66
1910	2	Railroad Brakeman	252	36	42
1910	2	Real Estate Agent	3275	35	62
1910	2	Religious Worker	10328	15	56
1910	2	Roller	252	30	22
1910	2	Sailor	252	23	16
1910	2	Salesman	356928	24	47
1910	2	Secretary	261962	14	61
1910	2	Security Guard	1007	25	18
1910	2	Service Attendant	9826	13	26
1910	2	Service Worker	1260	11	11
1910	2	Serviceman	504	33	49
1910	2	Shipping and Receiving	1512	26	22
1910	2	Shoemaker	252	20	12
1910	2	Stationary Engineer	755	36	47
1910	2	Tailor	44844	26	23
1910	2	Taxi Cab Driver / Chauffeur	252	22	10
1910	2	Teacher	501770	27	72
1910	2	Telegraph Messenger	504	12	22
1910	2	Telegraph Operator	6803	32	47
1910	2	Telephone Operator	86153	21	45
1910	2	Temperer	252	31	22
1910	2	Textile Spinner	46599	18	5
1910	2	Therapist	5036	26	58
1910	2	Ticket Agent	1259	35	60
1910	2	Tool Maker	252	37	50
1910	2	Truck / Tractor Driver	2268	25	15
1910	2	Typesetter	12090	36	52
1910	2	Union Official	1511	40	58
1910	2	Upholsterer	1511	26	22
1910	2	Waiter / Waitress	92691	11	16
1910	2	Weaver	99753	23	6
1920	1	Accountant / Auditor	111209	19	39
1920	1	Actor	14020	29	60
1920	1	Advertising Agent	15437	35	66
1920	1	Agent	30365	36	68
1920	1	Apprentice	17761	20	35
1920	1	Apprentice - Auto Mechanic	3532	18	25
1920	1	Apprentice - Bricklayer	101	25	32
1920	1	Apprentice - Carpenter	1615	20	31
1920	1	Apprentice - Construction	705	21	29
1920	1	Apprentice - Electrician	4439	25	37
1920	1	Apprentice - Machinist	17659	24	41
1920	1	Apprentice - Mechanic	1313	25	34
1920	1	Apprentice - Metal Working	8076	23	33
1920	1	Apprentice - Plumber	5749	25	33
1920	1	Apprentice - Printing	5150	23	40
1920	1	Architect	15439	54	90
1920	1	Artist / Art Teacher	20083	31	67
1920	1	Athlete	3735	23	52
1920	1	Auctioneer	5652	30	40
1920	1	Author	3836	33	76
1920	1	Baggageman	11103	30	25
1920	1	Baker	99297	28	22
1920	1	Bank Teller	18875	26	52
1920	1	Barber / Beautician	187113	19	17
1920	1	Bartender	23312	25	19
1920	1	Bill Collector	29573	26	39
1920	1	Blacksmith	202217	25	16
1920	1	Blaster	2320	26	11
1920	1	Boarding House Keeper	16353	7	30
1920	1	Boatman	5850	30	24
1920	1	Boilermaker	71945	34	39
1920	1	Bookbinder	11605	25	33
1920	1	Bookkeeper	244835	22	51
1920	1	Bootblack	15242	14	8
1920	1	Building Manager	12514	20	32
1920	1	Bus Driver	11098	30	24
1920	1	Buyer - Farm	60344	26	33
1920	1	Buyer - Store	33604	42	72
1920	1	Cabinet Maker	53790	26	23
1920	1	Car Washer	27553	16	8
1920	1	Carpenter	840929	24	19
1920	1	Cashier	27251	18	44
1920	1	Cement / Concrete Finisher	7972	27	19
1920	1	Chainman	2020	19	25
1920	1	Charwoman	16448	14	10
1920	1	Chemist	31894	40	79
1920	1	Chiropractor	3837	32	75
1920	1	Clergyman	129169	24	52
1920	1	Clerical Worker	850683	25	44
1920	1	College President / Dean	505	41	84
1920	1	Constable	5449	24	21
1920	1	Cook	107994	16	15
1920	1	Counter Worker	6865	13	17
1920	1	Craftsman	75069	32	32
1920	1	Cranemen / Hoistmen	30474	31	21
1920	1	Creditor	8582	37	74
1920	1	Crossing Guard / Toll Collector	9889	26	17
1920	1	Dancer / Dance Teacher	1313	16	45
1920	1	Decorator	7571	25	40
1920	1	Delivery Man	166109	27	32
1920	1	Demonstrator	1513	12	35
1920	1	Dentist	56401	63	96
1920	1	Designer	11402	38	73
1920	1	Disabled	10597	0	0
1920	1	Dispatcher	2823	31	40
1920	1	Doctor Office Attendant	2421	16	38
1920	1	Draftsman	51760	34	67
1920	1	Dressmaker / Seamstress	8171	12	23
1920	1	Dyer	17962	25	12
1920	1	Economist	101	39	81
1920	1	Editor / Reporter	28555	39	82
1920	1	Electrician	206165	34	44
1920	1	Electrotyper	3933	47	55
1920	1	Elevator Operator	31072	20	10
1920	1	Engineer	9888	49	87
1920	1	Engineer - Aeuronautical	403	48	87
1920	1	Engineer - Chemical	1312	49	90
1920	1	Engineer - Civil	68401	46	84
1920	1	Engineer - Electrical	29464	46	84
1920	1	Engineer - Industrial	3331	45	86
1920	1	Engineer - Mechanical	26647	46	82
1920	1	Engineer - Metallurgical	1108	46	82
1920	1	Engineer - Mining	6256	48	85
1920	1	Engraver	10088	33	47
1920	1	Entertainer	3632	20	31
1920	1	Farm Advisor	3127	36	83
1920	1	Farm Foreman	15337	23	20
1920	1	Farm Laborer	3295843	11	15
1920	1	Farm Manager	80524	24	36
1920	1	Farmer	6225184	14	14
1920	1	Fireman	192430	31	27
1920	1	Fisherman	51958	16	10
1920	1	Floor Manager	3533	26	50
1920	1	Foremen	443397	38	49
1920	1	Forgemen	8676	32	23
1920	1	Forrester	7266	29	48
1920	1	Funeral Director	22005	31	59
1920	1	Furnaceman	28262	29	18
1920	1	Furrier	7469	32	39
1920	1	Gardener / Groundskeeper	39958	17	11
1920	1	Glazier	3635	28	26
1920	1	Hospital Attendant	12112	16	13
1920	1	Household Worker	108884	9	17
1920	1	Huckster	45724	13	8
1920	1	Human Resources	1917	43	84
1920	1	Inmate	32293	0	0
1920	1	Inspector	118660	32	42
1920	1	Insulation Worker	2624	32	32
1920	1	Insurance Agent	119169	36	66
1920	1	Janitor	135536	19	9
1920	1	Jeweler	33402	27	36
1920	1	Job Setter	2524	34	28
1920	1	Laborer	3861050	20	8
1920	1	Laundry / Dry Cleaning	54781	15	15
1920	1	Lawyer / Judge	121497	62	93
1920	1	Librarian	1313	22	60
1920	1	Library Attendant	303	13	44
1920	1	Lithographer	11407	47	64
1920	1	Locomotive Engineer	113014	46	58
1920	1	Locomotive Fireman	93545	37	45
1920	1	Longshoreman	84361	25	11
1920	1	Loom Fixer	18167	29	10
1920	1	Lumberman	177099	12	4
1920	1	Machinist	818495	32	33
1920	1	Mail Carrier	97076	34	53
1920	1	Manager / Owner	2171254	42	68
1920	1	Mason	125934	29	27
1920	1	Meat Cutter	125634	29	29
1920	1	Mechanic	119593	30	27
1920	1	Mechanic - Airplane	1007	34	48
1920	1	Mechanic - Automobile	197967	27	19
1920	1	Mechanic - Office Machines	3027	28	36
1920	1	Mechanic - Radio / Television	101	25	36
1920	1	Mechanic - Railroad	74476	32	23
1920	1	Messenger	93446	27	48
1920	1	Metal Filer	60232	30	22
1920	1	Metal Heater	14739	32	29
1920	1	Metal Worker	155800	33	34
1920	1	Midwife	101	5	37
1920	1	Military	249460	11	18
1920	1	Miller	23918	25	19
1920	1	Milliner	2117	19	46
1920	1	Millwright	38246	34	31
